Component;Needed qty;Bought qty;Price per piece;Total price [€];Link;Supplier
XIAO-nRF52840-SMD;2;2;9,90;19,79;https://it.aliexpress.com/item/1005006988954136.html?spm=a2g0o.productlist.main.1.62ba43a7fON3hC&algo_pvid=c4482254-3f89-40fa-98a7-97dd3aacc602&pdp_ext_f=%7B%22order%22%3A%22624%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006988954136%7C_p_origin_prod%3A ;Aliexpress
MCP23017-SMD;2;2;1,07;2,14;https://it.aliexpress.com/item/1005004887918583.html;Aliexpress
Switches;76;90;0,25;22,69;https://it.aliexpress.com/item/1005006274507430.html?spm=a2g0o.productlist.main.6.4ba44ef4AYI4mL&aem_p4p_detail=202512260955039657378345087000001321141&algo_pvid=8f96edab-e4ca-4b09-be59-10554198677d&pdp_ext_f=%7B%22order%22%3A%2238%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006274507430%7C_p_origin_prod%3A&search_p4p_id=202512260955039657378345087000001321141_2;Aliexpress
Diodes;76;100;------------------;0,49;https://it.aliexpress.com/item/1005003194692663.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.2.2dfd9UnT9UnTOx&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=9bed4a2f-5e06-4ca8-8a81-9422ca14dc2d&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:9bed4a2f-5e06-4ca8-8a81-9422ca14dc2d,tpp_buckets:668%232846%238107%231934&pdp_ext_f=%7B%22order%22%3A%2275%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005003194692663%7C_p_origin_prod%3A ;Aliexpress
Rotary Encoder;2;5;0,55;2,75;https://it.aliexpress.com/item/1005006128088045.html?spm=a2g0o.productlist.main.7.69da3a52YN3A3T&algo_pvid=299a848f-d8b4-4b81-af71-043ec0739c44&pdp_ext_f=%7B%22order%22%3A%22175%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006128088045%7C_p_origin_prod%3A;Aliexpress
4.7Kohm resistor;4;100;0,03;3,3;https://it.aliexpress.com/item/1005003021538603.html?spm=a2g0o.productlist.main.2.5799451dIEnpLm&aem_p4p_detail=2025122610095969558461128860001466829&algo_pvid=e1c016ba-7d38-4015-8dd3-4c35ec3cf51b&pdp_ext_f=%7B%22order%22%3A%22492%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003021538603%7C_p_origin_prod%3A&search_p4p_id=2025122610095969558461128860001466829_1;Aliexpress
2Mohm resistor;2;100;0,03;3,35;https://it.aliexpress.com/item/1005003021538603.html?spm=a2g0o.productlist.main.2.5799451dIEnpLm&aem_p4p_detail=2025122610095969558461128860001466829&algo_pvid=e1c016ba-7d38-4015-8dd3-4c35ec3cf51b&pdp_ext_f=%7B%22order%22%3A%22492%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003021538603%7C_p_origin_prod%3A&search_p4p_id=2025122610095969558461128860001466829_1;Aliexpress
820Kohm resistor;2;100;0,03;3,4;https://it.aliexpress.com/item/1005003021538603.html?spm=a2g0o.productlist.main.2.5799451dIEnpLm&aem_p4p_detail=2025122610095969558461128860001466829&algo_pvid=e1c016ba-7d38-4015-8dd3-4c35ec3cf51b&pdp_ext_f=%7B%22order%22%3A%22492%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003021538603%7C_p_origin_prod%3A&search_p4p_id=2025122610095969558461128860001466829_1;Aliexpress
0.91' oled screen;1;1;2,11;2,11;https://it.aliexpress.com/item/1005008640132638.html?spm=a2g0o.productlist.main.1.4bc21769QO4Huq&algo_pvid=137205ff-4c76-455e-87f8-fca5959adf11&pdp_ext_f=%7B%22order%22%3A%222649%22%2C%22spu_best_type%22%3A%22order%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008640132638%7C_p_origin_prod%3A;Aliexpress
2u key stabilizer;4;4;1,43;5,73;https://it.aliexpress.com/item/1005001686319745.html?spm=a2g0o.productlist.main.5.6e4e2178qUut1V&algo_pvid=2d3d6382-ad70-4e12-91dc-376aa835c4ba&pdp_ext_f=%7B%22order%22%3A%2257%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001686319745%7C_p_origin_prod%3A;Aliexpress
1u keycap;60;90;0,13;11,81;https://it.aliexpress.com/item/32842379355.html?spm=a2g0o.productlist.main.2.16fc7efebDygke&algo_pvid=bea2e9e0-a4b6-4b73-8016-aa0d3190b12a&pdp_ext_f=%7B%22order%22%3A%22125%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32842379355%7C_p_origin_prod%3A;Aliexpress
1,5u keycap;12;12;1,85;22,2;https://it.aliexpress.com/item/1005009812188022.html?spm=a2g0o.productlist.main.8.59786cf89jO6mw&algo_pvid=5bef618b-f38d-434f-b523-4279e9d8102c&pdp_ext_f=%7B%22order%22%3A%2227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009812188022%7C_p_origin_prod%3A;Aliexpress
2u keycap;4;4;1,87;7,49;https://it.aliexpress.com/item/1005009812188022.html?spm=a2g0o.productlist.main.2.26dd7ffdM3bSEx&algo_pvid=5cae11f1-2e3f-4590-934a-0c83b294a05e&pdp_ext_f=%7B%22order%22%3A%2227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009812188022%7C_p_origin_prod%3A;Aliexpress
M3 Heat-press insert;12;100;0,04;3,84;https://it.aliexpress.com/item/1005006798286851.html?spm=a2g0o.productlist.main.2.65c451eeIjUlYy&algo_pvid=734ad05d-098f-47ac-8f6c-3ccb03f8ebcb&aem_p4p_detail=2025122610434316676623247873110001600521&pdp_ext_f=%7B%22order%22%3A%22857%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006798286851%7C_p_origin_prod%3A&search_p4p_id=2025122610434316676623247873110001600521_1;Aliexpress
M3 Screws;12;50;0,05;2,69;https://it.aliexpress.com/item/4001199728978.html?spm=a2g0o.productlist.main.2.2d746bba7ewCXD&aem_p4p_detail=202512261045558952220711852080001464769&algo_pvid=1f74552c-5adb-40cd-9ba3-309156d03e61&pdp_ext_f=%7B%22order%22%3A%223117%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4001199728978%7C_p_origin_prod%3A&search_p4p_id=202512261045558952220711852080001464769_1;Aliexpress
PCB;1;5;6,58;32,89;jlcpcb;jlcpcb
Battery;2;2;2,79;5,58;https://it.aliexpress.com/item/32856929220.html?spm=a2g0o.productlist.main.1.6081bAshbAshiC&algo_pvid=3da68703-c503-4912-9e5c-6f312c990bea&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32856929220%7C_p_origin_prod%3A;Aliexpress
;;;;;;
;;;;;;
;;;;;;
;;;Total price;146,67;;
